

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------


Ion(129) TOF(2.05698 usec) Mass(6.34666 amu) Charge(-1 e) 

Ion(130) TOF(1.72838 usec) Mass(4.29875 amu) Charge(-1 e) 

Ion(131) TOF(2.60106 usec) Mass(9.55394 amu) Charge(-1 e) 

Ion(132) TOF(2.15232 usec) Mass(6.67132 amu) Charge(-1 e) 

Ion(133) TOF(1.94957 usec) Mass(5.47349 amu) Charge(-1 e) 

Ion(134) TOF(1.86263 usec) Mass(5.0192 amu) Charge(-1 e) 

Ion(135) TOF(1.51834 usec) Mass(3.38026 amu) Charge(-1 e) 

Ion(136) TOF(0.961873 usec) Mass(1.22962 amu) Charge(-1 e) 

Ion(137) TOF(0.938777 usec) Mass(1.17689 amu) Charge(-1 e) 

Ion(138) TOF(2.25261 usec) Mass(7.49861 amu) Charge(-1 e) 

Ion(139) TOF(1.43061 usec) Mass(2.89657 amu) Charge(-1 e) 

Ion(140) TOF(1.86425 usec) Mass(5.16889 amu) Charge(-1 e) 

Ion(141) TOF(2.6128 usec) Mass(9.87063 amu) Charge(-1 e) 

Ion(142) TOF(2.3271 usec) Mass(7.7579 amu) Charge(-1 e) 

Ion(143) TOF(1.64082 usec) Mass(3.85598 amu) Charge(-1 e) 

Ion(144) TOF(2.46339 usec) Mass(8.79009 amu) Charge(-1 e) 

Ion(145) TOF(2.24276 usec) Mass(7.71862 amu) Charge(-1 e) 

Ion(146) TOF(2.14284 usec) Mass(6.44719 amu) Charge(-1 e) 

Ion(147) TOF(2.40618 usec) Mass(8.38084 amu) Charge(-1 e) 

Ion(148) TOF(0.95064 usec) Mass(1.20408 amu) Charge(-1 e) 

Ion(149) TOF(1.97934 usec) Mass(5.61632 amu) Charge(-1 e) 

Ion(150) TOF(2.43019 usec) Mass(8.8247 amu) Charge(-1 e) 

Ion(151) TOF(0.921719 usec) Mass(1.17716 amu) Charge(-1 e) 

Ion(152) TOF(2.49455 usec) Mass(8.93979 amu) Charge(-1 e) 

Ion(153) TOF(1.78192 usec) Mass(4.67806 amu) Charge(-1 e) 

Ion(154) TOF(1.93311 usec) Mass(5.56523 amu) Charge(-1 e) 

Ion(155) TOF(2.02284 usec) Mass(5.84457 amu) Charge(-1 e) 

Ion(156) TOF(1.92147 usec) Mass(5.32215 amu) Charge(-1 e) 

Ion(157) TOF(1.6654 usec) Mass(3.91888 amu) Charge(-1 e) 

Ion(158) TOF(0.914353 usec) Mass(1.18155 amu) Charge(-1 e) 

Ion(159) TOF(2.51422 usec) Mass(9.44517 amu) Charge(-1 e) 

Ion(160) TOF(1.64448 usec) Mass(4.02078 amu) Charge(-1 e) 

Ion(161) TOF(2.58084 usec) Mass(9.20292 amu) Charge(-1 e) 

Ion(162) TOF(1.02842 usec) Mass(1.49358 amu) Charge(-1 e) 

Ion(163) TOF(1.41246 usec) Mass(2.96194 amu) Charge(-1 e) 

Ion(164) TOF(2.63391 usec) Mass(9.92199 amu) Charge(-1 e) 

Ion(165) TOF(1.55365 usec) Mass(3.50606 amu) Charge(-1 e) 

Ion(166) TOF(1.84044 usec) Mass(4.89395 amu) Charge(-1 e) 

Ion(167) TOF(1.11361 usec) Mass(1.74627 amu) Charge(-1 e) 

Ion(168) TOF(2.16019 usec) Mass(6.92126 amu) Charge(-1 e) 

Ion(169) TOF(1.19184 usec) Mass(1.9899 amu) Charge(-1 e) 

Ion(170) TOF(1.86563 usec) Mass(5.23206 amu) Charge(-1 e) 

Ion(171) TOF(2.13159 usec) Mass(6.56502 amu) Charge(-1 e) 

Ion(172) TOF(1.43458 usec) Mass(2.99271 amu) Charge(-1 e) 

Ion(173) TOF(1.25423 usec) Mass(2.29258 amu) Charge(-1 e) 

Ion(174) TOF(1.41332 usec) Mass(2.84219 amu) Charge(-1 e) 

Ion(175) TOF(0.931884 usec) Mass(1.19941 amu) Charge(-1 e) 

Ion(176) TOF(1.91904 usec) Mass(5.38148 amu) Charge(-1 e) 

Ion(177) TOF(2.53791 usec) Mass(8.93072 amu) Charge(-1 e) 

Ion(178) TOF(2.19217 usec) Mass(6.7669 amu) Charge(-1 e) 

Ion(179) TOF(1.50534 usec) Mass(3.23606 amu) Charge(-1 e) 

Ion(180) TOF(1.67157 usec) Mass(4.08396 amu) Charge(-1 e) 

Ion(181) TOF(1.38541 usec) Mass(2.6925 amu) Charge(-1 e) 

Ion(182) TOF(2.28912 usec) Mass(7.71752 amu) Charge(-1 e) 

Ion(183) TOF(1.79605 usec) Mass(4.72558 amu) Charge(-1 e) 

Ion(184) TOF(2.22929 usec) Mass(7.35524 amu) Charge(-1 e) 

Ion(185) TOF(2.60602 usec) Mass(9.62233 amu) Charge(-1 e) 

Ion(186) TOF(1.13255 usec) Mass(1.81741 amu) Charge(-1 e) 

Ion(187) TOF(1.64139 usec) Mass(4.05649 amu) Charge(-1 e) 

Ion(188) TOF(1.98852 usec) Mass(5.82122 amu) Charge(-1 e) 

Ion(189) TOF(2.01173 usec) Mass(5.66301 amu) Charge(-1 e) 

Ion(190) TOF(0.903385 usec) Mass(1.07855 amu) Charge(-1 e) 

Ion(191) TOF(1.26865 usec) Mass(2.25495 amu) Charge(-1 e) 

Ion(192) TOF(1.81029 usec) Mass(4.57891 amu) Charge(-1 e) 

Ion(193) TOF(2.24952 usec) Mass(7.69912 amu) Charge(-1 e) 

Ion(194) TOF(1.63743 usec) Mass(3.76919 amu) Charge(-1 e) 

Ion(195) TOF(2.52426 usec) Mass(9.65282 amu) Charge(-1 e) 

Ion(196) TOF(2.0026 usec) Mass(5.67263 amu) Charge(-1 e) 

Ion(197) TOF(2.28203 usec) Mass(7.9194 amu) Charge(-1 e) 

Ion(198) TOF(2.1043 usec) Mass(6.40077 amu) Charge(-1 e) 

Ion(199) TOF(1.03239 usec) Mass(1.45238 amu) Charge(-1 e) 

Ion(200) TOF(2.53926 usec) Mass(9.61107 amu) Charge(-1 e) 

Ion(201) TOF(2.27885 usec) Mass(7.66945 amu) Charge(-1 e) 

Ion(202) TOF(2.33071 usec) Mass(7.70351 amu) Charge(-1 e) 

Ion(203) TOF(1.374 usec) Mass(2.62548 amu) Charge(-1 e) 

Ion(204) TOF(1.00911 usec) Mass(1.44414 amu) Charge(-1 e) 

Ion(205) TOF(2.61615 usec) Mass(9.97473 amu) Charge(-1 e) 

Ion(206) TOF(1.15038 usec) Mass(1.80065 amu) Charge(-1 e) 

Ion(207) TOF(2.09202 usec) Mass(6.54112 amu) Charge(-1 e) 

Ion(208) TOF(1.49155 usec) Mass(3.21848 amu) Charge(-1 e) 

Ion(209) TOF(2.55018 usec) Mass(9.63195 amu) Charge(-1 e) 

Ion(210) TOF(1.97822 usec) Mass(5.57622 amu) Charge(-1 e) 

Ion(211) TOF(2.26162 usec) Mass(7.14347 amu) Charge(-1 e) 

Ion(212) TOF(2.11079 usec) Mass(6.22608 amu) Charge(-1 e) 

Ion(213) TOF(2.57136 usec) Mass(9.57125 amu) Charge(-1 e) 

Ion(214) TOF(2.61361 usec) Mass(9.42512 amu) Charge(-1 e) 

