

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(218) TOF(2.40853 usec) Mass(16 amu) Charge(-1 e) 

Ion(219) TOF(2.53177 usec) Mass(16 amu) Charge(-1 e) 

Ion(220) TOF(2.33333 usec) Mass(16 amu) Charge(-1 e) 

Ion(221) TOF(2.36406 usec) Mass(16 amu) Charge(-1 e) 

Ion(222) TOF(2.38443 usec) Mass(16 amu) Charge(-1 e) 

Ion(223) TOF(2.17029 usec) Mass(16 amu) Charge(-1 e) 

Ion(224) TOF(2.17906 usec) Mass(16 amu) Charge(-1 e) 

Ion(225) TOF(2.57404 usec) Mass(16 amu) Charge(-1 e) 

Ion(226) TOF(2.65129 usec) Mass(16 amu) Charge(-1 e) 

Ion(227) TOF(2.64304 usec) Mass(16 amu) Charge(-1 e) 

Ion(228) TOF(2.30498 usec) Mass(16 amu) Charge(-1 e) 

Ion(229) TOF(2.37347 usec) Mass(16 amu) Charge(-1 e) 

Ion(230) TOF(2.22406 usec) Mass(16 amu) Charge(-1 e) 

Ion(231) TOF(2.34142 usec) Mass(16 amu) Charge(-1 e) 

Ion(232) TOF(2.2511 usec) Mass(16 amu) Charge(-1 e) 

Ion(233) TOF(2.19444 usec) Mass(16 amu) Charge(-1 e) 

Ion(234) TOF(2.24566 usec) Mass(16 amu) Charge(-1 e) 

Ion(235) TOF(2.4358 usec) Mass(16 amu) Charge(-1 e) 

Ion(236) TOF(2.51495 usec) Mass(16 amu) Charge(-1 e) 

Ion(237) TOF(2.52231 usec) Mass(16 amu) Charge(-1 e) 

Ion(238) TOF(2.36051 usec) Mass(16 amu) Charge(-1 e) 

Ion(239) TOF(2.30194 usec) Mass(16 amu) Charge(-1 e) 

Ion(240) TOF(2.26873 usec) Mass(16 amu) Charge(-1 e) 

Ion(241) TOF(2.22405 usec) Mass(16 amu) Charge(-1 e) 

Ion(242) TOF(2.27028 usec) Mass(16 amu) Charge(-1 e) 

Ion(243) TOF(2.68773 usec) Mass(16 amu) Charge(-1 e) 

Ion(244) TOF(2.55389 usec) Mass(16 amu) Charge(-1 e) 

Ion(245) TOF(2.25625 usec) Mass(16 amu) Charge(-1 e) 

Ion(246) TOF(2.28411 usec) Mass(16 amu) Charge(-1 e) 

Ion(247) TOF(2.32786 usec) Mass(16 amu) Charge(-1 e) 

Ion(248) TOF(2.54188 usec) Mass(16 amu) Charge(-1 e) 

Ion(249) TOF(2.3401 usec) Mass(16 amu) Charge(-1 e) 

Ion(250) TOF(2.20658 usec) Mass(16 amu) Charge(-1 e) 

Ion(251) TOF(2.20758 usec) Mass(16 amu) Charge(-1 e) 

