

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(304) TOF(4.74924 usec) Mass(26 amu) Charge(-1 e) 

Ion(305) TOF(3.43269 usec) Mass(27 amu) Charge(-1 e) 

Ion(306) TOF(3.6058 usec) Mass(28 amu) Charge(-1 e) 

Ion(307) TOF(4.47486 usec) Mass(29 amu) Charge(-1 e) 

Ion(308) TOF(4.94013 usec) Mass(30 amu) Charge(-1 e) 

Ion(309) TOF(4.05814 usec) Mass(31 amu) Charge(-1 e) 

Ion(310) TOF(4.63062 usec) Mass(32 amu) Charge(-1 e) 

Ion(311) TOF(4.66725 usec) Mass(33 amu) Charge(-1 e) 

Ion(312) TOF(4.73283 usec) Mass(34 amu) Charge(-1 e) 

Ion(313) TOF(4.29769 usec) Mass(35 amu) Charge(-1 e) 

Ion(314) TOF(7.94738 usec) Mass(36 amu) Charge(-1 e) 

Ion(315) TOF(4.14846 usec) Mass(37 amu) Charge(-1 e) 

Ion(316) TOF(4.65339 usec) Mass(38 amu) Charge(-1 e) 

Ion(317) TOF(4.74415 usec) Mass(39 amu) Charge(-1 e) 

Ion(318) TOF(5.15897 usec) Mass(40 amu) Charge(-1 e) 

Ion(319) TOF(7.58477 usec) Mass(41 amu) Charge(-1 e) 

Ion(320) TOF(6.59618 usec) Mass(42 amu) Charge(-1 e) 

Ion(321) TOF(5.2411 usec) Mass(43 amu) Charge(-1 e) 

Ion(322) TOF(13.1013 usec) Mass(44 amu) Charge(-1 e) 

Ion(323) TOF(9.15799 usec) Mass(45 amu) Charge(-1 e) 

Ion(324) TOF(5.73568 usec) Mass(46 amu) Charge(-1 e) 

Ion(325) TOF(8.37912 usec) Mass(47 amu) Charge(-1 e) 

Ion(326) TOF(6.68982 usec) Mass(48 amu) Charge(-1 e) 

Ion(327) TOF(6.31991 usec) Mass(49 amu) Charge(-1 e) 

Ion(328) TOF(5.68015 usec) Mass(50 amu) Charge(-1 e) 

Ion(329) TOF(2.21756 usec) Mass(10 amu) Charge(-1 e) 

Ion(330) TOF(3.15476 usec) Mass(11 amu) Charge(-1 e) 

Ion(331) TOF(3.02992 usec) Mass(12 amu) Charge(-1 e) 

Ion(332) TOF(2.57689 usec) Mass(13 amu) Charge(-1 e) 

Ion(333) TOF(2.50383 usec) Mass(14 amu) Charge(-1 e) 

Ion(334) TOF(2.93648 usec) Mass(15 amu) Charge(-1 e) 

Ion(335) TOF(3.15443 usec) Mass(16 amu) Charge(-1 e) 

Ion(336) TOF(2.98734 usec) Mass(17 amu) Charge(-1 e) 

Ion(337) TOF(3.41442 usec) Mass(18 amu) Charge(-1 e) 

Ion(338) TOF(4.73531 usec) Mass(19 amu) Charge(-1 e) 

Ion(339) TOF(3.35595 usec) Mass(20 amu) Charge(-1 e) 

Ion(340) TOF(3.95172 usec) Mass(21 amu) Charge(-1 e) 

Ion(341) TOF(3.89114 usec) Mass(22 amu) Charge(-1 e) 

Ion(342) TOF(3.76707 usec) Mass(23 amu) Charge(-1 e) 

Ion(343) TOF(3.35199 usec) Mass(24 amu) Charge(-1 e) 

Ion(344) TOF(3.70013 usec) Mass(25 amu) Charge(-1 e) 

Ion(345) TOF(5.19595 usec) Mass(26 amu) Charge(-1 e) 

Ion(346) TOF(4.00061 usec) Mass(27 amu) Charge(-1 e) 

Ion(347) TOF(7.46398 usec) Mass(28 amu) Charge(-1 e) 

Ion(348) TOF(5.7536 usec) Mass(29 amu) Charge(-1 e) 

Ion(349) TOF(4.59724 usec) Mass(30 amu) Charge(-1 e) 

Ion(350) TOF(4.46734 usec) Mass(31 amu) Charge(-1 e) 

Ion(351) TOF(4.81433 usec) Mass(32 amu) Charge(-1 e) 

Ion(352) TOF(4.48472 usec) Mass(33 amu) Charge(-1 e) 

Ion(353) TOF(8.93046 usec) Mass(34 amu) Charge(-1 e) 

