

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(112) TOF(1.02812 usec) Mass(2 amu) Charge(-1 e) 

Ion(113) TOF(1.44263 usec) Mass(3 amu) Charge(-1 e) 

Ion(114) TOF(1.34226 usec) Mass(4 amu) Charge(-1 e) 

Ion(115) TOF(2.00348 usec) Mass(5 amu) Charge(-1 e) 

Ion(116) TOF(0.787497 usec) Mass(1 amu) Charge(-1 e) 

Ion(117) TOF(0.988002 usec) Mass(2 amu) Charge(-1 e) 

Ion(118) TOF(1.53729 usec) Mass(3 amu) Charge(-1 e) 

Ion(119) TOF(1.48846 usec) Mass(4 amu) Charge(-1 e) 

Ion(120) TOF(1.43577 usec) Mass(5 amu) Charge(-1 e) 

Ion(121) TOF(0.746599 usec) Mass(1 amu) Charge(-1 e) 

Ion(122) TOF(1.06298 usec) Mass(2 amu) Charge(-1 e) 

Ion(123) TOF(1.34099 usec) Mass(3 amu) Charge(-1 e) 

Ion(124) TOF(1.68711 usec) Mass(4 amu) Charge(-1 e) 

Ion(125) TOF(1.92291 usec) Mass(5 amu) Charge(-1 e) 

Ion(126) TOF(0.768633 usec) Mass(1 amu) Charge(-1 e) 

Ion(127) TOF(1.38199 usec) Mass(2 amu) Charge(-1 e) 

Ion(128) TOF(1.24466 usec) Mass(3 amu) Charge(-1 e) 

Ion(129) TOF(1.29386 usec) Mass(4 amu) Charge(-1 e) 

Ion(130) TOF(1.47256 usec) Mass(5 amu) Charge(-1 e) 

Ion(131) TOF(0.749111 usec) Mass(1 amu) Charge(-1 e) 

Ion(132) TOF(1.141 usec) Mass(2 amu) Charge(-1 e) 

Ion(133) TOF(1.21415 usec) Mass(3 amu) Charge(-1 e) 

Ion(134) TOF(1.81411 usec) Mass(4 amu) Charge(-1 e) 

Ion(135) TOF(1.45099 usec) Mass(5 amu) Charge(-1 e) 

Ion(136) TOF(0.784058 usec) Mass(1 amu) Charge(-1 e) 

Ion(137) TOF(1.09033 usec) Mass(2 amu) Charge(-1 e) 

Ion(138) TOF(1.32487 usec) Mass(3 amu) Charge(-1 e) 

Ion(139) TOF(1.55275 usec) Mass(4 amu) Charge(-1 e) 

Ion(140) TOF(1.92413 usec) Mass(5 amu) Charge(-1 e) 

Ion(141) TOF(0.756713 usec) Mass(1 amu) Charge(-1 e) 

Ion(142) TOF(1.1785 usec) Mass(2 amu) Charge(-1 e) 

Ion(143) TOF(1.4606 usec) Mass(3 amu) Charge(-1 e) 

Ion(144) TOF(1.37426 usec) Mass(4 amu) Charge(-1 e) 

Ion(145) TOF(1.6839 usec) Mass(5 amu) Charge(-1 e) 

Ion(146) TOF(0.770394 usec) Mass(1 amu) Charge(-1 e) 

Ion(147) TOF(1.03909 usec) Mass(2 amu) Charge(-1 e) 

Ion(148) TOF(1.25686 usec) Mass(3 amu) Charge(-1 e) 

Ion(149) TOF(1.3011 usec) Mass(4 amu) Charge(-1 e) 

